Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days),Crew Size,Mission Risk Level,Success Probability
Russia,2002.0,Public-key composite challenge,Manned,Christianville,Research,22.0,91.0,Nuclear Propulsion,Medium,"Germany, Israel, India",85.0,21.0,Medium,0.566
China,2008.0,Exclusive actuating conglomeration,Manned,Zacharyberg,Research,27.87,57.0,AI Navigation,High,"UAE, Japan",29.0,33.0,Low,0.836
UAE,2003.0,User-centric asymmetric website,Unmanned,East Mollyhaven,Spy,15.42,65.0,Traditional Rocket,High,"USA, UAE",62.0,76.0,Medium,0.018
Russia,2019.0,Open-architected bottom-line concept,Manned,Gonzalezfurt,Research,29.88,63.0,Traditional Rocket,High,"Israel, Japan",257.0,58.0,Low,0.802
Germany,2024.0,Enterprise-wide methodical infrastructure,Manned,Robertsfort,Communication,8.88,73.0,Nuclear Propulsion,Low,"China, Germany, Israel",106.0,22.0,Medium,0.947
Japan,2001.0,Integrated dedicated alliance,Manned,Port Beverly,Research,30.77,100.0,Solar Propulsion,Low,"UAE, UK, India",346.0,89.0,Low,0.032
China,2011.0,Decentralized uniform success,Unmanned,Garretttown,Weather,17.31,92.0,Nuclear Propulsion,Low,"Germany, Japan",261.0,49.0,Medium,0.046
India,2014.0,Mandatory background toolset,Manned,Wellsfurt,Communication,22.92,66.0,Solar Propulsion,High,Germany,119.0,91.0,Medium,0.345
France,2019.0,Organized client-server protocol,Unmanned,Carlamouth,Communication,11.14,62.0,Solar Propulsion,Medium,Germany,61.0,59.0,Medium,0.088
France,2021.0,Up-sized object-oriented open architecture,Manned,North Melissahaven,Communication,11.44,62.0,Traditional Rocket,Medium,"Russia, UK, India",273.0,42.0,High,0.479
China,2018.0,Profit-focused neutral database,Unmanned,Port Jamesberg,Spy,48.72,61.0,Nuclear Propulsion,Medium,"UK, Germany",158.0,92.0,High,0.729
UK,2001.0,Assimilated non-volatile artificial intelligence,Unmanned,East Lee,Spy,48.28,85.0,Solar Propulsion,Medium,"UAE, France, USA",165.0,60.0,Medium,0.567
Germany,2020.0,Reduced grid-enabled forecast,Unmanned,Kimberlyside,Navigation,42.56,81.0,AI Navigation,Low,"Japan, Germany, UAE",260.0,80.0,Low,0.196
France,2003.0,Proactive attitude-oriented complexity,Unmanned,Port Steven,Research,46.77,65.0,Solar Propulsion,High,"Russia, China, Israel",101.0,15.0,Low,0.655
UK,2007.0,Proactive encompassing projection,Manned,South Johnny,Communication,9.54,69.0,AI Navigation,High,"Germany, China",116.0,62.0,Medium,0.685
Russia,2015.0,Business-focused solution-oriented service-desk,Manned,Lake Sara,Research,35.26,64.0,Traditional Rocket,Medium,Israel,298.0,62.0,High,0.932
China,2006.0,Inverse solution-oriented concept,Manned,Lake Garrett,Weather,40.82,68.0,AI Navigation,High,India,165.0,47.0,Low,0.147
Germany,2012.0,Reduced bifurcated customer loyalty,Manned,Emmamouth,Navigation,27.68,58.0,Reusable Rocket,Low,"Japan, UK, Germany",4.0,62.0,High,0.692
China,2004.0,Optional radical circuit,Unmanned,Port Christopher,Weather,21.44,78.0,Nuclear Propulsion,High,"Israel, India, UAE",249.0,51.0,Low,0.911
India,2019.0,Profit-focused bottom-line artificial intelligence,Unmanned,Cartershire,Weather,49.84,76.0,Solar Propulsion,Low,UK,166.0,55.0,Medium,0.502
Germany,2021.0,Mandatory scalable matrices,Manned,Darrylborough,Navigation,27.73,80.0,AI Navigation,High,Israel,340.0,64.0,High,0.362
Russia,2006.0,Networked exuding pricing structure,Manned,Swansonhaven,Research,42.72,95.0,Nuclear Propulsion,Low,"USA, Japan",174.0,3.0,Low,0.171
UK,2023.0,Function-based optimizing Local Area Network,Manned,West Zoemouth,Weather,31.38,90.0,Nuclear Propulsion,Medium,Israel,9.0,51.0,Medium,0.867
Israel,2018.0,Re-engineered eco-centric framework,Unmanned,Carolinemouth,Weather,44.4,65.0,AI Navigation,Low,"USA, Israel, Russia",46.0,7.0,Medium,0.394
UK,2022.0,Customer-focused national initiative,Manned,Jamesfort,Navigation,37.91,55.0,Traditional Rocket,Medium,USA,69.0,21.0,Medium,0.925
UK,2016.0,Secured real-time middleware,Manned,Port Courtneyburgh,Weather,23.52,53.0,AI Navigation,Low,"USA, Japan",135.0,73.0,High,0.848
Israel,2025.0,Grass-roots modular extranet,Unmanned,Paulaview,Communication,23.2,90.0,Solar Propulsion,High,"Japan, UK, Russia",84.0,39.0,High,0.377
UAE,2009.0,Reverse-engineered asymmetric parallelism,Manned,West Jamesview,Research,32.22,64.0,Reusable Rocket,Medium,"Israel, France, UAE",258.0,18.0,Medium,0.574
China,2009.0,Networked leadingedge utilization,Manned,North Sarahfurt,Research,43.25,52.0,Traditional Rocket,Low,Russia,57.0,4.0,High,0.027
Germany,2008.0,Optimized incremental Graphical User Interface,Unmanned,New James,,30.96,76.0,Reusable Rocket,High,Japan,212.0,89.0,Low,0.263
USA,2009.0,Configurable fresh-thinking synergy,Manned,East Patrick,Weather,47.25,52.0,Reusable Rocket,Low,"USA, UK, Germany",294.0,60.0,Medium,0.71
Germany,2020.0,Re-contextualized zero-defect core,Manned,Port Jenniferchester,Spy,27.57,75.0,Nuclear Propulsion,Low,Japan,86.0,14.0,Medium,0.678
France,2017.0,Upgradable dynamic contingency,Unmanned,West Doris,Research,31.63,96.0,Reusable Rocket,Low,"UK, France, India",158.0,9.0,High,0.353
Germany,2001.0,Streamlined global capacity,Unmanned,New Jason,Communication,41.82,67.0,AI Navigation,Medium,"China, UK",168.0,90.0,Medium,0.809
USA,2001.0,Total fresh-thinking orchestration,Manned,Garciaport,Spy,41.16,63.0,Nuclear Propulsion,Medium,"Russia, Israel, Japan",180.0,53.0,Low,0.236
China,2015.0,User-friendly executive throughput,Unmanned,East Melissaland,Communication,43.68,63.0,Traditional Rocket,Low,"China, Germany, UK",312.0,2.0,High,0.461
China,2018.0,Fundamental scalable Graphic Interface,Manned,Port Sandraland,Communication,24.06,61.0,Reusable Rocket,Low,Russia,316.0,84.0,High,0.473
Japan,2006.0,Customer-focused real-time Local Area Network,Manned,New James,Spy,3.06,76.0,Traditional Rocket,High,"UAE, USA",227.0,92.0,Medium,0.341
UAE,2015.0,Optional coherent conglomeration,Manned,Robertland,Navigation,20.59,73.0,Nuclear Propulsion,Medium,"Russia, UAE",180.0,60.0,Medium,0.955
France,2009.0,Ergonomic systematic access,Unmanned,North Scottville,Weather,11.4,88.0,Traditional Rocket,Low,"Russia, Germany",215.0,71.0,Medium,0.697
Israel,2000.0,Inverse 24hour array,Unmanned,North Gabrielleton,Spy,27.59,86.0,Traditional Rocket,High,"China, UAE, UK",115.0,44.0,High,0.539
Germany,2019.0,Open-source methodical orchestration,Manned,Hughesbury,Weather,14.68,52.0,Nuclear Propulsion,High,"USA, France",201.0,8.0,Medium,0.511
Russia,2005.0,Sharable upward-trending benchmark,Manned,,Spy,38.06,70.0,AI Navigation,Low,"UAE, Germany, China",324.0,47.0,Low,0.159
Israel,2025.0,Total regional hardware,Manned,Lake Jackside,Weather,41.36,84.0,Solar Propulsion,Medium,Russia,17.0,35.0,Medium,0.372
UK,2017.0,Organized incremental groupware,Unmanned,North Andrew,Spy,32.62,87.0,AI Navigation,Low,"France, USA",226.0,78.0,Medium,0.673
France,2008.0,Cross-platform value-added info-mediaries,Manned,Eriktown,Research,2.9,75.0,Nuclear Propulsion,Low,"Germany, Israel, China",181.0,81.0,High,0.925
UAE,2018.0,Multi-tiered directional toolset,Unmanned,New Noah,Spy,49.64,63.0,Traditional Rocket,Low,Japan,30.0,36.0,Medium,0.816
USA,2022.0,Object-based incremental database,Unmanned,Lawrencechester,Research,49.16,71.0,Nuclear Propulsion,Medium,"China, Japan",106.0,50.0,High,0.3
UAE,2013.0,Persistent optimal software,Manned,New Eric,Weather,36.12,98.0,AI Navigation,Medium,Germany,122.0,4.0,Medium,0.434
Israel,2002.0,Distributed directional challenge,Unmanned,Port Deborah,Weather,19.37,94.0,Reusable Rocket,High,Germany,341.0,2.0,Low,0.083
China,2012.0,Re-engineered fresh-thinking middleware,Unmanned,Lake Megan,Research,11.86,80.0,AI Navigation,Low,China,282.0,6.0,Low,0.102
Japan,2004.0,Phased radical utilization,Manned,South Miguel,Weather,13.33,66.0,Traditional Rocket,Low,Russia,110.0,54.0,High,0.47
USA,2017.0,Synchronized zero administration policy,Unmanned,Lake Christina,Weather,41.54,55.0,Solar Propulsion,Low,Germany,130.0,4.0,High,0.53
China,2001.0,Streamlined 24hour application,Unmanned,New Reneeside,Communication,18.13,58.0,Reusable Rocket,Medium,"China, Germany",40.0,54.0,Medium,0.264
China,2020.0,Compatible object-oriented Internet solution,Unmanned,Smithville,Weather,25.34,67.0,AI Navigation,High,"China, Russia",125.0,93.0,Medium,0.643
USA,2023.0,Down-sized 4thgeneration middleware,Unmanned,Lambland,Spy,35.55,68.0,Solar Propulsion,Medium,"USA, UK, Israel",104.0,63.0,Low,0.703
Russia,2023.0,Streamlined zero tolerance moratorium,Unmanned,Port Mandy,Weather,34.84,50.0,Traditional Rocket,High,UAE,299.0,18.0,Medium,0.299
Israel,2011.0,Innovative scalable focus group,Unmanned,North Susanbury,Navigation,15.7,68.0,Nuclear Propulsion,High,Israel,143.0,90.0,Low,0.758
China,2004.0,Networked discrete monitoring,Unmanned,Josephview,Weather,48.64,65.0,Traditional Rocket,Low,UK,261.0,44.0,High,0.206
USA,2014.0,Inverse zero tolerance toolset,Unmanned,Wendyside,Research,46.97,68.0,Solar Propulsion,Low,"India, UAE",198.0,34.0,Medium,0.544
Russia,2017.0,Synergistic object-oriented synergy,Manned,Hartchester,Communication,47.75,57.0,Traditional Rocket,High,"UAE, Russia",305.0,74.0,High,0.804
USA,2021.0,Reverse-engineered bi-directional capability,Manned,Kevinbury,Research,39.56,70.0,Traditional Rocket,High,"USA, UK",93.0,62.0,Medium,0.537
UK,2019.0,Persevering full-range open architecture,Manned,South Donna,Communication,11.54,52.0,Nuclear Propulsion,High,"UK, Russia, Israel",307.0,100.0,Low,0.908
Japan,2015.0,Upgradable modular help-desk,Manned,East Joshua,Research,40.44,99.0,Reusable Rocket,Medium,"UK, France, Germany",203.0,14.0,High,0.059
UK,2002.0,Adaptive directional adapter,Unmanned,South Jamesside,Navigation,15.79,71.0,Solar Propulsion,Low,"China, Israel",288.0,95.0,,0.588
India,2015.0,Re-contextualized heuristic ability,Manned,Wardview,Communication,4.4,59.0,Solar Propulsion,Low,UK,30.0,48.0,Medium,0.562
Germany,2025.0,Assimilated bi-directional matrix,Manned,Harrisonside,Communication,8.14,89.0,Reusable Rocket,Medium,"India, China, Germany",159.0,15.0,High,0.66
India,2009.0,Streamlined multimedia concept,Manned,Lake Connieville,Research,33.21,94.0,Traditional Rocket,Medium,France,282.0,72.0,Low,0.833
USA,2007.0,Diverse 24hour forecast,Unmanned,East Kristy,Communication,29.9,65.0,AI Navigation,Low,India,294.0,78.0,High,0.726
Russia,2012.0,Re-contextualized needs-based support,Manned,East Valerieland,Navigation,22.75,75.0,Nuclear Propulsion,Low,Japan,63.0,87.0,High,0.79
India,2012.0,Enhanced bi-directional installation,Manned,West Cynthiaberg,Spy,39.13,93.0,Solar Propulsion,High,"USA, UK, Germany",114.0,62.0,Medium,0.289
Japan,2016.0,Centralized maximized policy,Unmanned,East Jackside,Research,28.75,92.0,Solar Propulsion,Low,Israel,252.0,40.0,High,0.387
UK,2024.0,Progressive interactive knowledge user,Manned,Kathrynshire,Navigation,18.95,66.0,AI Navigation,Medium,"Germany, UAE",80.0,85.0,Medium,0.627
Israel,2020.0,Front-line context-sensitive encryption,Manned,New Robertborough,Spy,14.98,54.0,Traditional Rocket,Low,China,264.0,80.0,Medium,0.553
USA,2007.0,Upgradable incremental groupware,Manned,East Shawnburgh,Research,39.55,69.0,Solar Propulsion,Medium,"Germany, France",45.0,82.0,High,0.961
Israel,2018.0,Reduced 24hour archive,Unmanned,South Rita,Communication,27.81,61.0,Reusable Rocket,Medium,"Israel, Japan",14.0,53.0,Low,0.187
Germany,2019.0,Focused zero tolerance functionalities,Unmanned,North Eugeneborough,Research,39.19,74.0,Traditional Rocket,Medium,Japan,37.0,24.0,Medium,0.351
UK,2000.0,Seamless systemic flexibility,Manned,Jacquelinemouth,Research,10.99,68.0,Reusable Rocket,Low,"UK, Israel, Germany",84.0,26.0,High,0.573
China,2008.0,Programmable client-server toolset,Unmanned,Jacksonview,Spy,46.86,70.0,Reusable Rocket,Medium,France,31.0,89.0,Medium,0.868
UAE,2016.0,User-friendly zero administration contingency,Unmanned,Christensentown,Navigation,,95.0,Traditional Rocket,High,UAE,330.0,60.0,Low,0.929
France,2010.0,Synergistic dynamic matrices,Unmanned,East Carrie,Spy,29.49,97.0,AI Navigation,Low,"Germany, China",118.0,41.0,Low,0.336
China,2009.0,Optional multi-state Local Area Network,Unmanned,Thompsonborough,Spy,13.33,83.0,Solar Propulsion,Low,France,10.0,29.0,Medium,0.067
China,2008.0,Re-contextualized multi-state challenge,Unmanned,Osbornefort,Weather,10.06,83.0,Traditional Rocket,Medium,"USA, France, UAE",93.0,15.0,Low,0.422
China,2014.0,Public-key foreground software,Unmanned,West Darinberg,Spy,28.98,91.0,Solar Propulsion,High,"USA, UAE",257.0,45.0,High,0.394
France,2005.0,Persistent tangible Graphic Interface,Manned,Chenview,Spy,13.86,91.0,AI Navigation,Low,Russia,208.0,65.0,High,0.986
UAE,2009.0,Cloned analyzing utilization,Unmanned,North Williamstad,Weather,14.14,66.0,Reusable Rocket,High,"Russia, France",126.0,89.0,Medium,0.431
India,2008.0,Fully-configurable client-server service-desk,Unmanned,Benjaminborough,Navigation,24.74,55.0,Traditional Rocket,Medium,"India, Germany",211.0,71.0,Low,0.306
China,2017.0,Optimized zero tolerance circuit,Manned,South Lisafurt,Spy,14.64,63.0,Solar Propulsion,Medium,"Germany, Israel",363.0,9.0,High,0.365
UK,2024.0,Monitored web-enabled artificial intelligence,Unmanned,Port Amberbury,Weather,48.62,64.0,Nuclear Propulsion,Medium,"Germany, Russia",217.0,88.0,High,0.397
Germany,2006.0,Down-sized asynchronous functionalities,Unmanned,Amyview,Navigation,13.93,52.0,Traditional Rocket,Low,"UK, Japan, China",58.0,1.0,High,0.822
France,2001.0,Enterprise-wide reciprocal capacity,Manned,North Shanemouth,Weather,40.89,90.0,Solar Propulsion,High,"UAE, Russia",63.0,8.0,Medium,0.081
Russia,2007.0,Phased homogeneous initiative,Unmanned,Donaldchester,Weather,21.29,72.0,Solar Propulsion,High,"China, France, USA",314.0,88.0,Medium,0.317
USA,2007.0,Decentralized modular model,Manned,New Deannatown,Spy,39.71,80.0,Reusable Rocket,Medium,"USA, India, UAE",300.0,63.0,High,0.966
Japan,2005.0,Advanced neutral neural-net,Manned,Robertsonchester,Communication,6.35,50.0,Solar Propulsion,High,"Germany, USA, Russia",157.0,11.0,High,0.153
France,2019.0,Optional cohesive project,Manned,New Stephanieberg,Spy,4.23,74.0,Reusable Rocket,High,"Israel, USA",54.0,81.0,Low,0.743
Russia,2004.0,Configurable methodical product,Unmanned,New Sandratown,Spy,18.87,51.0,AI Navigation,Medium,UAE,342.0,8.0,Low,0.356
Russia,2025.0,Total 4thgeneration Internet solution,Unmanned,Lake William,Communication,34.71,59.0,Reusable Rocket,Low,USA,33.0,35.0,Low,0.582
India,2008.0,Polarized impactful moratorium,Manned,Nunezhaven,Spy,42.55,71.0,AI Navigation,Medium,Israel,141.0,35.0,Medium,0.1
France,2013.0,Managed bifurcated throughput,Unmanned,Chanview,Navigation,10.05,57.0,Nuclear Propulsion,Low,"Russia, Germany, Japan",75.0,33.0,High,0.306
UAE,2008.0,Configurable stable encryption,Manned,Williamsborough,Navigation,3.06,74.0,Nuclear Propulsion,Low,Russia,127.0,5.0,Medium,0.501
Israel,2021.0,Total grid-enabled Graphical User Interface,Manned,South Kyleborough,Navigation,6.13,98.0,Traditional Rocket,High,"UAE, India, USA",162.0,41.0,High,0.232
Germany,2006.0,Reverse-engineered bifurcated collaboration,Manned,Danaton,Research,3.2,95.0,Reusable Rocket,Medium,"France, USA, UK",190.0,28.0,Low,0.542
France,2021.0,Implemented actuating complexity,Manned,South Michael,Research,20.36,53.0,Nuclear Propulsion,Low,"India, Russia",165.0,7.0,Low,0.22
Russia,2004.0,Face-to-face neutral artificial intelligence,Manned,East Stevenville,Communication,17.81,60.0,Solar Propulsion,Low,"Japan, India",8.0,73.0,Low,0.65
Israel,2009.0,Multi-channeled non-volatile analyzer,Manned,East Ernestton,Spy,30.17,84.0,Traditional Rocket,Medium,"USA, China",332.0,72.0,Low,0.904
France,2008.0,Optional zero administration database,Manned,East Michaelachester,Spy,18.33,88.0,Traditional Rocket,Low,Israel,260.0,12.0,High,0.085
India,2020.0,Synchronized dedicated contingency,Manned,New Cindy,Communication,15.12,72.0,Traditional Rocket,Low,"Japan, China",358.0,34.0,Low,0.217
USA,2011.0,Centralized composite architecture,Manned,Johnnyberg,Communication,4.01,82.0,Nuclear Propulsion,High,Germany,239.0,33.0,High,0.844
Germany,2014.0,Open-source intangible archive,Unmanned,New Victor,Communication,1.97,84.0,Nuclear Propulsion,Medium,"UAE, Israel",140.0,48.0,High,0.632
India,2008.0,Compatible coherent alliance,Manned,Carterberg,Spy,24.7,86.0,AI Navigation,Medium,"USA, Russia, China",300.0,23.0,Medium,0.079
Russia,2025.0,Total 4thgeneration Internet solution,Unmanned,Lake William,Communication,34.71,59.0,Reusable Rocket,Low,USA,33.0,62.0,Low,0.486
Israel,2017.0,Balanced background adapter,Unmanned,East Ericbury,Weather,6.68,53.0,Nuclear Propulsion,Low,"Russia, USA",39.0,88.0,Low,0.21
UAE,2007.0,Down-sized hybrid frame,Unmanned,West Richard,Communication,25.04,89.0,Reusable Rocket,Medium,"Israel, France, Russia",102.0,37.0,Medium,0.199
UK,2019.0,Polarized systemic structure,Unmanned,New Alishamouth,Communication,11.37,92.0,Traditional Rocket,Medium,"Germany, Israel",203.0,99.0,High,0.941
India,2015.0,Grass-roots intermediate Graphic Interface,Unmanned,Jonesmouth,Navigation,20.69,76.0,Traditional Rocket,High,"UK, China, Israel",210.0,44.0,Low,0.762
India,2017.0,Multi-layered optimizing workforce,Unmanned,East Paul,Research,43.44,96.0,Traditional Rocket,Low,UK,326.0,86.0,High,0.696
France,2016.0,Optional reciprocal artificial intelligence,Manned,New Julieville,Spy,11.86,81.0,Nuclear Propulsion,High,UAE,333.0,91.0,Medium,0.239
Germany,2022.0,Fundamental multi-state definition,Manned,Daystad,Weather,18.66,62.0,AI Navigation,Medium,"Japan, India",198.0,35.0,High,0.119
UAE,2006.0,Proactive attitude-oriented info-mediaries,Manned,Victoriaview,Spy,1.52,77.0,Traditional Rocket,Low,"UAE, Russia, France",160.0,65.0,Low,0.871
France,2022.0,Synergized multi-state process improvement,Manned,Masonburgh,Research,36.08,99.0,Nuclear Propulsion,High,China,94.0,99.0,High,0.006
UK,2001.0,Sharable intangible initiative,Manned,New Marytown,Spy,6.15,86.0,Reusable Rocket,Low,"Israel, China, Russia",24.0,47.0,High,0.388
UAE,2009.0,Persevering 3rdgeneration leverage,Manned,Lake Stacytown,Navigation,12.84,76.0,Solar Propulsion,Medium,"India, Japan, France",282.0,78.0,Low,0.278
UAE,2013.0,Assimilated impactful functionalities,Manned,Scottton,Communication,17.62,100.0,Traditional Rocket,Low,China,128.0,3.0,Low,0.57
USA,2006.0,Front-line well-modulated synergy,Unmanned,Pearsonstad,Navigation,36.1,96.0,Reusable Rocket,Low,"Germany, USA, France",19.0,1.0,High,0.251
China,2008.0,Secured real-time info-mediaries,Manned,Ericchester,Navigation,24.31,54.0,Traditional Rocket,Low,"India, UAE",301.0,5.0,High,0.311
UK,2022.0,Exclusive 24hour Local Area Network,Unmanned,Lake Michaelmouth,Spy,25.15,73.0,AI Navigation,Low,China,105.0,90.0,Medium,0.85
UK,2002.0,Universal impactful conglomeration,Unmanned,Jenkinsside,Spy,34.72,51.0,AI Navigation,High,Israel,164.0,14.0,Low,0.603
UK,2003.0,Distributed uniform synergy,Manned,Amyville,Weather,13.33,55.0,Reusable Rocket,Medium,Germany,340.0,27.0,High,0.146
India,2014.0,Synchronized disintermediate function,Manned,Villanuevaton,Spy,45.37,65.0,Nuclear Propulsion,Medium,Russia,289.0,9.0,Low,0.726
Germany,2006.0,Down-sized asynchronous functionalities,Unmanned,Amyview,Navigation,13.93,52.0,Traditional Rocket,Low,"UK, Japan, China",58.0,79.0,Medium,0.207
Russia,2004.0,Mandatory secondary benchmark,Unmanned,West Justin,Research,5.62,57.0,AI Navigation,Low,"Germany, China, Russia",139.0,15.0,High,0.433
France,2013.0,Object-based zero tolerance knowledgebase,Manned,North Christinaton,Navigation,25.01,60.0,Solar Propulsion,Medium,"Germany, Russia",191.0,90.0,High,0.647
UAE,2023.0,Multi-tiered system-worthy matrices,Manned,Rachelfurt,Weather,13.19,68.0,AI Navigation,Low,UK,261.0,42.0,High,0.272
France,2003.0,Multi-tiered bifurcated solution,Manned,Calebville,Weather,2.22,94.0,Reusable Rocket,High,"Japan, UK",198.0,77.0,Low,0.384
France,2003.0,Balanced mobile strategy,Unmanned,Doylefort,Spy,14.01,60.0,Nuclear Propulsion,Medium,"Japan, China",22.0,51.0,Medium,0.734
USA,2011.0,Open-architected local structure,Manned,Port Timothy,Research,1.08,50.0,Solar Propulsion,Low,"Israel, Russia",173.0,63.0,Low,0.938
Russia,2019.0,Enhanced zero administration methodology,Manned,Sandrabury,Weather,13.12,55.0,AI Navigation,Medium,"UK, Japan",271.0,96.0,High,0.529
UK,2012.0,User-friendly optimizing core,Unmanned,Lake Kevin,Research,27.84,61.0,Solar Propulsion,Medium,"China, France",362.0,52.0,Medium,0.01
Germany,2002.0,Streamlined optimizing leverage,Manned,Danielbury,Communication,37.88,83.0,Nuclear Propulsion,High,USA,66.0,96.0,High,0.338
Russia,2010.0,Triple-buffered demand-driven conglomeration,Unmanned,Nicolemouth,Spy,43.28,69.0,Traditional Rocket,Low,Israel,198.0,4.0,High,0.399
Japan,2020.0,Exclusive dedicated customer loyalty,Unmanned,East Antonio,,34.58,61.0,Solar Propulsion,Low,"Israel, UK, France",248.0,94.0,Low,0.339
USA,2009.0,Persevering mobile initiative,Unmanned,Hermanchester,Research,33.08,78.0,Reusable Rocket,High,India,107.0,23.0,High,0.436
China,2001.0,Phased executive info-mediaries,Unmanned,Johnfort,Navigation,36.66,50.0,Reusable Rocket,Medium,France,288.0,15.0,Medium,0.633
Germany,2009.0,Centralized hybrid alliance,Unmanned,Amychester,Communication,13.76,98.0,Traditional Rocket,Low,Israel,102.0,43.0,High,0.121
USA,2003.0,Synergistic systematic superstructure,Manned,Hardingburgh,Research,2.17,81.0,Traditional Rocket,Low,Israel,114.0,29.0,High,0.273
China,2023.0,Secured 3rdgeneration focus group,Manned,Haroldhaven,Communication,16.52,61.0,Solar Propulsion,Medium,"USA, India, Israel",303.0,36.0,Low,0.508
Germany,2001.0,Streamlined global capacity,Unmanned,New Jason,Communication,41.82,67.0,AI Navigation,Medium,"China, UK",168.0,13.0,Medium,0.316
China,2001.0,Streamlined 24hour application,Unmanned,New Reneeside,Communication,18.13,58.0,Reusable Rocket,Medium,"China, Germany",40.0,32.0,Low,0.991
Germany,2017.0,Upgradable exuding extranet,Manned,Lake Tina,Research,25.58,75.0,Solar Propulsion,Medium,Israel,327.0,71.0,High,0.431
Israel,2014.0,Implemented demand-driven utilization,Unmanned,New Richard,Spy,14.47,54.0,Nuclear Propulsion,High,Japan,120.0,59.0,Low,0.87
UAE,2003.0,Front-line secondary capacity,Unmanned,Tiffanyview,Navigation,9.76,68.0,Solar Propulsion,Low,"USA, Japan",38.0,86.0,Low,0.897
France,2012.0,Reactive interactive synergy,Manned,East Erin,Navigation,25.79,91.0,Nuclear Propulsion,High,"Russia, China",251.0,28.0,Low,0.836
